QuarterBass Drumeat Count,Offset (Quarter LenSnare Drumth),Instrument1,Instrument2,Instrument1 Duration,Instrument2 Duration,Beat Subdivision
237,59,Snare Drum,Bass Drum,[0.5, 0.5],1st Quarter
238,59.25,,,,,
239,59.5,Snare Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
240,59.75,,,,,
241,60,Snare Drum, Hi-Hat (Open),[0.5, 0.5],1st Quarter
242,60.25,,,,,
243,60.5,Snare Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
244,60.75,,,,,
245,61,Snare Drum,Bass Drum,[0.5, 0.5],1st Quarter
246,61.25,,,,,
247,61.5,Snare Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
248,61.75,,,,,
249,62,Snare Drum,,[0.5],,1st Quarter
250,62.25,,,,,
251,62.5,Snare Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
252,62.75,,,,,
253,63,Snare Drum,Bass Drum,[0.5, 0.5],1st Quarter
254,63.25,,,,,
255,63.5,Snare Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
256,63.75,,,,,
257,64,Tom-tom, Hi-Hat (Open),[1.0, 1.0],1st Quarter
258,64.25,,,,,
259,64.5,,,,,
260,64.75,,,,,
261,65,Snare Drum,Bass Drum,[0.5, 1.0],1st Quarter
262,65.25,,,,,
263,65.5,Snare Drum,,[0.5],,3rd Quarter
264,65.75,,,,,
265,66,Snare Drum, Hi-Hat (Open),[0.5, 0.5],1st Quarter
266,66.25,,,,,
267,66.5,Snare Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
268,66.75,,,,,
269,67,Snare Drum,Bass Drum,[0.5, 0.5],1st Quarter
270,67.25,,,,,
271,67.5,Snare Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
272,67.75,,,,,
273,68,Snare Drum, Hi-Hat (Open),[0.5, 0.5],1st Quarter
274,68.25,,,,,
275,68.5,Snare Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
276,68.75,,,,,
277,69,Snare Drum,Bass Drum,[0.5, 0.5],1st Quarter
278,69.25,,,,,
279,69.5,Snare Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
280,69.75,,,,,
281,70,Snare Drum,,[0.5],,1st Quarter
282,70.25,,,,,
283,70.5,Snare Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
284,70.75,,,,,
285,71,Snare Drum,Bass Drum,[0.5, 0.5],1st Quarter
286,71.25,,,,,
287,71.5,Snare Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
288,71.75,,,,,
289,72,Snare Drum, Hi-Hat (Open),[0.5, 1.0],1st Quarter
290,72.25,,,,,
291,72.5,Snare Drum,,[0.5],,3rd Quarter
292,72.75,,,,,
293,73,Snare Drum,Bass Drum,[0.5, 1.0],1st Quarter
294,73.25,,,,,
295,73.5,Snare Drum,,[0.5],,3rd Quarter
296,73.75,,,,,
297,74,Snare Drum, Hi-Hat (Open),[0.5, 0.5],1st Quarter
298,74.25,,,,,
299,74.5,Snare Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
300,74.75,,,,,
301,75,Snare Drum,Bass Drum,[0.5, 0.5],1st Quarter
302,75.25,,,,,
303,75.5,Snare Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
304,75.75,,,,,
305,76,Snare Drum, Hi-Hat (Open),[0.5, 0.5],1st Quarter
306,76.25,,,,,
307,76.5,Snare Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
308,76.75,,,,,
309,77,Snare Drum,Bass Drum,[0.5, 0.5],1st Quarter
310,77.25,,,,,
311,77.5,Snare Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
312,77.75,,,,,
313,78,Snare Drum,,[0.5],,1st Quarter
314,78.25,,,,,
315,78.5,Snare Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
