Beat Count,Instrument 1,Instrument 2,Offset (Quarter Length)
&,Bass Drum,,25.875
a,,,25.9375
105,Snare Drum,Tom-tom,26
e,,,26.0625
&,Bass Drum,,26.125
a,,,26.1875
106,Bass Drum,Tom-tom,26.25
e,,,26.3125
&,Hi-Hat (Open),,26.375
a,,,26.4375
107,Snare Drum,Hi-Hat (Open),26.5
e,,,26.5625
&,Bass Drum,Tom-tom,26.625
a,,,26.6875
108,Hi-Hat (Open),,26.75
e,,,26.8125
&,Bass Drum,Hi-Hat (Open),26.875
a,,,26.9375
109,Snare Drum,Hi-Hat (Open),27
e,,,27.0625
&,Hi-Hat (Open),,27.125
a,,,27.1875
110,Bass Drum,Tom-tom,27.25
e,,,27.3125
&,Hi-Hat (Open),,27.375
a,,,27.4375
111,Snare Drum,Hi-Hat (Open),27.5
e,,,27.5625
&,Bass Drum,Tom-tom,27.625
a,,,27.6875
112,Hi-Hat (Open),,27.75
e,,,27.8125
&,Bass Drum,Hi-Hat (Open),27.875
a,,,27.9375
113,Snare Drum,Hi-Hat (Open),28
e,,,28.0625
&,Bass Drum,Hi-Hat (Open),28.125
a,,,28.1875
114,Bass Drum,Tom-tom,28.25
e,,,28.3125
&,Hi-Hat (Open),,28.375
a,,,28.4375
115,Snare Drum,Hi-Hat (Open),28.5
e,,,28.5625
&,Bass Drum,Hi-Hat (Open),28.625
a,,,28.6875
116,Bass Drum,Hi-Hat (Open),28.75
e,,,28.8125
&,Hi-Hat (Open),,28.875
a,,,28.9375
117,Snare Drum,Hi-Hat (Open),29
e,,,29.0625
&,Bass Drum,Hi-Hat (Open),29.125
a,,,29.1875
118,Bass Drum,Hi-Hat (Open),29.25
e,,,29.3125
&,Hi-Hat (Open),,29.375
a,,,29.4375
119,Snare Drum,Hi-Hat (Open),29.5
e,,,29.5625
&,Bass Drum,Hi-Hat (Open),29.625
a,,,29.6875
120,Bass Drum,Hi-Hat (Open),29.75
e,,,29.8125
&,Hi-Hat (Open),,29.875
a,,,29.9375
121,Snare Drum,Hi-Hat (Open),30
e,,,30.0625
&,Bass Drum,Hi-Hat (Open),30.125
a,,,30.1875
122,Bass Drum,Hi-Hat (Open),30.25
e,,,30.3125
&,Hi-Hat (Open),,30.375
a,,,30.4375
123,Snare Drum,Hi-Hat (Open),30.5
e,,,30.5625
&,Bass Drum,Hi-Hat (Open),30.625
a,,,30.6875
124,Bass Drum,Hi-Hat (Open),30.75
e,,,30.8125
&,Snare Drum,Tom-tom,30.875
a,,,30.9375
125,Snare Drum,Tom-tom,31
e,,,31.0625
&,,,31.125
a,,,31.1875
126,Bass Drum,Tom-tom,31.25
e,,,31.3125
&,Hi-Hat (Open),,31.375
a,,,31.4375
127,Snare Drum,Hi-Hat (Open),31.5
e,,,31.5625
&,Bass Drum,Hi-Hat (Open),31.625
a,,,31.6875
128,Bass Drum,Hi-Hat (Open),31.75
e,,,31.8125
&,Hi-Hat (Open),,31.875
a,,,31.9375
129,Snare Drum,Hi-Hat (Open),32
e,,,32.0625
&,Bass Drum,Hi-Hat (Open),32.125
a,,,32.1875
130,Bass Drum,Hi-Hat (Open),32.25
e,,,32.3125
&,Hi-Hat (Open),,32.375
a,,,32.4375
131,Snare Drum,Hi-Hat (Open),32.5
e,,,32.5625
&,Bass Drum,Hi-Hat (Open),32.625
a,,,32.6875
132,Bass Drum,Hi-Hat (Open),32.75
e,,,32.8125
&,Hi-Hat (Open),,32.875
a,,,32.9375
133,Hi-Hat (Open),,33
e,,,33.0625
&,Bass Drum,Hi-Hat (Open),33.125
a,,,33.1875
134,Bass Drum,Hi-Hat (Open),33.25
e,,,33.3125
&,Hi-Hat (Open),,33.375
a,,,33.4375
135,Snare Drum,Hi-Hat (Open),33.5
e,,,33.5625
&,Bass Drum,Hi-Hat (Open),33.625
a,,,33.6875
136,Bass Drum,Hi-Hat (Open),33.75
e,,,33.8125
&,Hi-Hat (Open),,33.875
a,,,33.9375
137,Hi-Hat (Open),,34
e,,,34.0625
&,Bass Drum,Hi-Hat (Open),34.125
a,,,34.1875
138,Bass Drum,Hi-Hat (Open),34.25
e,,,34.3125
&,Hi-Hat (Open),,34.375
a,,,34.4375
139,Snare Drum,Hi-Hat (Open),34.5
e,,,34.5625
&,Bass Drum,Hi-Hat (Open),34.625
a,,,34.6875
140,Bass Drum,Hi-Hat (Open),34.75
e,,,34.8125
&,Hi-Hat (Open),,34.875
a,,,34.9375
141,Hi-Hat (Open),,35
e,,,35.0625
&,Bass Drum,Hi-Hat (Open),35.125
a,,,35.1875
142,Bass Drum,Hi-Hat (Open),35.25
e,,,35.3125
&,Hi-Hat (Open),,35.375
a,,,35.4375
143,Snare Drum,Hi-Hat (Open),35.5
e,,,35.5625
&,Bass Drum,Hi-Hat (Open),35.625
a,,,35.6875
144,Bass Drum,Hi-Hat (Open),35.75
e,,,35.8125
&,Hi-Hat (Open),,35.875
a,,,35.9375
145,Hi-Hat (Open),,36
e,,,36.0625
&,Bass Drum,Hi-Hat (Open),36.125
a,,,36.1875
146,Bass Drum,Hi-Hat (Open),36.25
e,,,36.3125
&,Hi-Hat (Open),,36.375
a,,,36.4375
147,Snare Drum,Hi-Hat (Open),36.5
e,,,36.5625
&,Bass Drum,Hi-Hat (Open),36.625
a,,,36.6875
148,Bass Drum,Hi-Hat (Open),36.75
e,,,36.8125
&,Hi-Hat (Open),,36.875
a,,,36.9375
149,Hi-Hat (Open),,37
e,,,37.0625
&,Bass Drum,Hi-Hat (Open),37.125
a,,,37.1875
150,Bass Drum,Hi-Hat (Open),37.25
e,,,37.3125
&,Hi-Hat (Open),,37.375
a,,,37.4375
151,Snare Drum,Hi-Hat (Open),37.5
e,,,37.5625
&,Bass Drum,Hi-Hat (Open),37.625
a,,,37.6875
152,Bass Drum,Hi-Hat (Open),37.75
e,,,37.8125
&,Hi-Hat (Open),,37.875
a,,,37.9375
153,Hi-Hat (Open),,38
e,,,38.0625
&,Bass Drum,Hi-Hat (Open),38.125
a,,,38.1875
154,Bass Drum,Hi-Hat (Open),38.25
e,,,38.3125
&,Snare Drum,Tom-tom,38.375
a,,,38.4375
155,Hi-Hat (Open),,38.5
e,,,38.5625
&,Bass Drum,Hi-Hat (Open),38.625
a,,,38.6875
156,Snare Drum,Tom-tom,38.75
e,,,38.8125
&,Bass Drum,,38.875
a,,,38.9375
157,Snare Drum,Tom-tom,39
e,,,39.0625
&,,,39.125
a,,,39.1875
158,Bass Drum,Ghost Note,39.25
e,,,39.3125
&,Ghost Note,,39.375
a,,,39.4375
159,Snare Drum,Ghost Note,39.5
e,,,39.5625
&,Bass Drum,Ghost Note,39.625
a,,,39.6875
160,Bass Drum,Ghost Note,39.75
e,,,39.8125
&,Ghost Note,,39.875
a,,,39.9375
161,Snare Drum,Ghost Note,40
e,,,40.0625
&,Bass Drum,Ghost Note,40.125
a,,,40.1875
162,Bass Drum,Ghost Note,40.25
e,,,40.3125
&,Ghost Note,,40.375
a,,,40.4375
163,Snare Drum,Ghost Note,40.5
e,,,40.5625
&,Bass Drum,Ghost Note,40.625
a,,,40.6875
164,Bass Drum,Ghost Note,40.75
e,,,40.8125
&,Ghost Note,,40.875
a,,,40.9375
165,Snare Drum,Ghost Note,41
e,,,41.0625
&,Bass Drum,Ghost Note,41.125
a,,,41.1875
166,Bass Drum,Ghost Note,41.25
e,,,41.3125
&,Ghost Note,,41.375
a,,,41.4375
167,Snare Drum,Ghost Note,41.5
e,,,41.5625
&,Bass Drum,Ghost Note,41.625
a,,,41.6875
168,Bass Drum,Ghost Note,41.75
e,,,41.8125
&,Ghost Note,,41.875
a,,,41.9375
169,Snare Drum,Ghost Note,42
e,,,42.0625
&,Bass Drum,Ghost Note,42.125
a,,,42.1875
170,Bass Drum,Ghost Note,42.25
e,,,42.3125
&,Ghost Note,,42.375
a,,,42.4375
171,Snare Drum,Ghost Note,42.5
e,,,42.5625
&,Bass Drum,Ghost Note,42.625
a,,,42.6875
172,Bass Drum,Ghost Note,42.75
e,,,42.8125
&,Bass Drum,Ghost Note,42.875
a,,,42.9375
173,Snare Drum,Ghost Note,43
e,,,43.0625
&,Bass Drum,Ghost Note,43.125
a,,,43.1875
174,Bass Drum,Ghost Note,43.25
e,,,43.3125
&,Ghost Note,,43.375
a,,,43.4375
175,Snare Drum,Ghost Note,43.5
e,,,43.5625
&,Bass Drum,Ghost Note,43.625
a,,,43.6875
176,Bass Drum,Ghost Note,43.75
e,,,43.8125
&,Ghost Note,,43.875
a,,,43.9375
177,Snare Drum,Ghost Note,44
e,,,44.0625
&,Bass Drum,Ghost Note,44.125
a,,,44.1875
178,Bass Drum,Ghost Note,44.25
e,,,44.3125
&,Ghost Note,,44.375
a,,,44.4375
179,Snare Drum,Ghost Note,44.5
e,,,44.5625
&,Bass Drum,Ghost Note,44.625
a,,,44.6875
180,Bass Drum,Ghost Note,44.75
e,,,44.8125
&,Ghost Note,,44.875
a,,,44.9375
181,Snare Drum,Ghost Note,45
e,,,45.0625
&,Bass Drum,Ghost Note,45.125
a,,,45.1875
182,Bass Drum,Ghost Note,45.25
e,,,45.3125
&,Ghost Note,,45.375
a,,,45.4375
183,Snare Drum,Ghost Note,45.5
e,,,45.5625
&,Bass Drum,Ghost Note,45.625
a,,,45.6875
184,Bass Drum,Ghost Note,45.75
e,,,45.8125
&,Ghost Note,,45.875
a,,,45.9375
185,Snare Drum,Ghost Note,46
e,,,46.0625
&,Bass Drum,Ghost Note,46.125
a,,,46.1875
186,Bass Drum,Ghost Note,46.25
e,,,46.3125
&,Snare Drum,Tom-tom,46.375
a,,,46.4375
187,Ghost Note,,46.5
e,,,46.5625
&,Bass Drum,Ghost Note,46.625
a,,,46.6875
188,Snare Drum,Tom-tom,46.75
e,,,46.8125
&,Bass Drum,,46.875
a,,,46.9375
189,Snare Drum,Tom-tom,47
e,,,47.0625
&,Bass Drum,,47.125
a,,,47.1875
190,Bass Drum,Tom-tom,47.25
e,,,47.3125
&,Hi-Hat (Open),,47.375
a,,,47.4375
191,Snare Drum,Hi-Hat (Open),47.5
e,,,47.5625
&,Bass Drum,Tom-tom,47.625
a,,,47.6875
192,Hi-Hat (Open),,47.75
e,,,47.8125
&,Bass Drum,Hi-Hat (Open),47.875
a,,,47.9375
193,Snare Drum,Hi-Hat (Open),48
e,,,48.0625
&,Hi-Hat (Open),,48.125
a,,,48.1875
194,Bass Drum,Tom-tom,48.25
e,,,48.3125
&,Hi-Hat (Open),,48.375
a,,,48.4375
195,Snare Drum,Hi-Hat (Open),48.5
e,,,48.5625
&,Bass Drum,Tom-tom,48.625
a,,,48.6875
196,Hi-Hat (Open),,48.75
e,,,48.8125
&,Bass Drum,Hi-Hat (Open),48.875
a,,,48.9375
197,Snare Drum,Hi-Hat (Open),49
e,,,49.0625
&,Bass Drum,Hi-Hat (Open),49.125
a,,,49.1875
198,Bass Drum,Tom-tom,49.25
e,,,49.3125
&,Hi-Hat (Open),,49.375
a,,,49.4375
199,Snare Drum,Hi-Hat (Open),49.5
e,,,49.5625
&,Bass Drum,Hi-Hat (Open),49.625
a,,,49.6875
